Countries where Pringles are sold
Albania
Argentina
Australia
Austria
Bahrain
Belgium
Bolivia
Bosnia & Herzegovina
Brazil
Bulgaria
Canada
Chile
Colombia
Costa Rica
Croatia
Cyprus
Czech Republic
Denmark
Dominican Republic
Ecuador
Egypt
El Salvador
Estonia
Finland
France
Germany
Greece
Guatemala
Honduras
Hungary
Iceland
Ireland
Israel
Italy
Jamaica
Japan
Jordan
Korea
Kosovo
Kuwait
Latvia
Lebanon
Lithuania
Luxembourg
Macedonia
Malaysia
Malta
Mexico
Moldova
Montenegro
Netherlands
New Zealand
Nicaragua
Norway
Oman
Panama
Paraguay
Peru
Philippines
Poland
Portugal
Puerto Rico
Qatar
Romania
Russia
Saudi Arabia
Serbia
Slovakia
Slovenia
South Africa
Spain
Sweden
Switzerland
Taiwan
Thailand
Trinidad & Tobago
Turkey
Ukraine
United Arab Emierates
United Kingdom
United States
Uruguay


















